OBJECTID,GLOBAL_ID,REMARKS,FREQ_TRANS,FREQ_REC,FREQ_UOM,TYPE_CODE,SERVICE_ID,FREQ_ALT,FREQ_USAGE,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
2163,72E33375-1E9D-4CA7-AA52-A66CD91C12E2,,134.25,134.25,,,421B0E24-B018-4FD1-8DF5-6B710CC6A8A8,1,BLANK,0,0,1,1,0,0
2164,4E658EEA-DB8E-437C-A3A4-19C914A11C2D,,127.6,127.6,,,AFB1F1EC-31BF-426F-8B5D-710F01EF1BE4,2,BLANK,0,0,1,1,0,0
2165,AC67B01B-A0B2-49B6-835D-796A2BA984EE,,279.6,279.6,,,AFB1F1EC-31BF-426F-8B5D-710F01EF1BE4,2,BLANK,0,0,1,1,0,0
2166,41FA5106-8607-4134-B607-3A1C17A72A27,,124.4,124.4,,,2C75BF36-132C-4A8A-A880-C3B890E05D7A,0,BLANK,0,0,1,0,0,0
2167,3901B854-0559-4D78-BEB5-878B1239E3CE,,317.7,317.7,,,2C75BF36-132C-4A8A-A880-C3B890E05D7A,0,BLANK,0,0,1,0,0,0
2168,3C303437-41D0-43B0-A31E-ADF9AD5529F4,,124.875,124.875,,,B2135FB9-19FA-43BB-84EB-876F63D84B18,1,BLANK,0,0,1,1,0,0
2169,99C7A7B6-82B6-4D6C-B369-A325C0FE37BA,,128,128,,,B2135FB9-19FA-43BB-84EB-876F63D84B18,0,BLANK,0,0,1,1,0,0
2170,5D6C6AE5-41FD-4CA5-8F1B-018C12801392,,257.95,257.95,,,B2135FB9-19FA-43BB-84EB-876F63D84B18,0,BLANK,0,0,1,1,0,0
2171,110A8A6E-6B98-4B8E-8236-3CE0CE3DEE4B,,353.75,353.75,,,B2135FB9-19FA-43BB-84EB-876F63D84B18,1,BLANK,0,0,1,1,0,0
2172,FE8FCAB3-1BA9-400C-B2A0-29D64EC9D4C4,,119.6,119.6,,,A7E42D98-227E-4837-BD8C-44A5B3A80A28,0,BLANK,0,0,1,1,0,0
