OBJECTID,GLOBAL_ID,AIRPORT_ID,DESIGNATOR,LENGTH,WIDTH,DIM_UOM,COMP_CODE,LIGHTACTV,LIGHTINTNS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Area,Shape__Length
3770,8F0A70ED-2947-4C3F-9CAE-355B00729D87,2E9C9197-97EE-41FF-92DF-A19C5A554312,07/25,3000,75,FT,GRASS,,,0,0,0,0,0,0,1.94633548744605e-06,0.0190326515051412
3771,C4FE208A-E8D3-4A01-AE10-76BCD8340655,FF691D65-DD89-4208-9D23-6002059608A8,01/19,5000,75,FT,ASPH,2,LIM,0,0,1,1,0,0,3.22014625453448e-06,0.0280161225825932
3772,1B1E296D-6F07-427A-B3CD-6278BFBE44EF,9635790E-E73C-44CA-9E95-1EA1708D739B,N/S,3900,2250,FT,WATER,,,0,0,0,0,0,0,7.2863830496317e-05,0.0350450631391226
3773,022C6E80-B359-4E29-87C9-0C6D5ECC743A,2974CA57-A662-4B7D-A568-15A88AF1F878,13/31,2400,100,FT,GRASS,,,0,0,0,0,0,0,2.07406515073671e-06,0.0149196777876703
3774,3817A757-83E2-4032-AA85-09B0B4756A57,D3CB222F-89BA-4325-A5E6-7227D1520EFC,07/25,4001,100,FT,ASPH,2,LIM,0,0,1,0,1,0,3.48441562891821e-06,0.0253328665676675
3775,58350A15-7088-411D-8052-45CB7AA74FF9,D3CB222F-89BA-4325-A5E6-7227D1520EFC,11/29,3500,100,FT,ASPH,2,LIM,0,0,1,0,1,0,3.04824152408401e-06,0.0224208427334721
3776,04AC4708-434C-49C0-8BA7-532F0ED4C261,FB285804-824E-4F34-9CAF-DFB6002F9D95,H1,50,50,FT,ASPH,,,0,0,0,0,0,0,2.17823981074616e-08,0.000591840000083721
3777,F14E8BA6-7E49-4D7C-8E1B-5643E9823E51,A97CBD07-DFE0-48F1-9F98-49F7F2267E86,H1,60,60,FT,CONC,,,0,0,0,0,0,0,3.13491455017356e-08,0.00070999300010347
3778,EE6A65CE-F939-4793-838D-E0BF82471A03,55EE93E9-DC8B-4CCF-8748-D35AA66DEFF8,H1,40,40,FT,CONC,0,OTHER,0,0,0,0,0,0,1.39339135785121e-08,0.000473354000064319
3779,D7E25AE7-59FE-4968-92C2-7C31D41B3940,CA8037E4-4296-400E-9E4C-2BCE13C13E8D,H1,58,58,FT,CONC,3,OTHER,0,0,0,0,0,0,2.9314833227545e-08,0.000686588000121446
